图片名称,用户名,颜色1,颜色2,颜色3,颜色4
寄生獣 セイの格率 オリジナル・サウンドトラック,Betta_Fish,#050836,#C5120C,#1B4AAF,#2275AB
小さな恋のうた（TVアニメ「時々ボソッとロシア語でデレる隣のアーリャさん」エンディングテーマ）,Betta_Fish,#F7DCE5,#FDE0E4,#EDE2E8,#0499C4
小喋日和,Betta_Fish,#F87E75,#3D6CB0,#1D4791,#1D4791
小贩,Betta_Fish,#412814,#3B2C23,#162334,#050505
小霞 2.0,Betta_Fish,#9F9F9F,#A9A9A9,#D2D2D2,#FFFFFF
尘,Betta_Fish,#DD5A2C,#DE5F36,#DB8C85,#D65929
山海问爱人,raspberry_kan,#28405A,#895852,#415E6E,#633525
崖の上のポニョ,Betta_Fish,#2A6955,#3D5B65,#5D7C79,#0C764E
崩坏星穹铁道-不虚此行 On the Journey,Betta_Fish,#72ACDE,#8AC5E5,#A2D4E7,#A1DAEE
幕を下ろそう、パレードへ,Betta_Fish,#3E0818,#7B097E,#7F0CA9,#040005
幻想曲抜萃 (東方萃夢想 ORIGINAL SOUND TRACK),Betta_Fish,#572457,#B7585E,#DB262D,#65148A
庆长生,Betta_Fish,#12306E,#DBC754,#7C7545,#4F5DA6
廿,Betta_Fish,#E2145E,#9D0126,#4F0016,#840D2F
弥渡山歌（说唱版）,kengwang,#42474A,#555E5D,#874B31,#565C5A
彼女がフラグをおられたら 第3卷 特典CD,Betta_Fish,#F6E2CA,#FDFEF0,#E0C3AB,#FDFCF9
往け,Betta_Fish,#FBFAE6,#F0F5DF,#9ED0EB,#F1F3E6
往欄印,Betta_Fish,#325F5A,#6F9786,#315345,#9FAF94
徒花ネクロマンシー,Betta_Fish,#4A1411,#8B7900,#52142B,#70112A
德语翻唱系列,Betta_Fish,#E5E5E5,#E1DDD1,#A7C8B7,#E4E4E2
心中的日月,Betta_Fish,#0F0E10,#332F30,#0E0E0E,#2F333C
心意已决,Betta_Fish,#151515,#191919,#3A3A3A,#0D0D0D
心臓を捧げよ! (TV Size),Betta_Fish,#010024,#380F14,#000026,#45080D
忘形,Betta_Fish,#13110C,#19252A,#3D271E,#503A2C
"快恠奇奇 ALI PROJECT Ventennale Music, Art Exhibition",Betta_Fish,#E1E9F6,#B0C6ED,#4F8AC6,#DADCDF
怪物,raspberry_kan,#B40100,#550F0F,#2E0000,#9F2827
恋のうた  feat. 由崎司,Betta_Fish,#4FA0D8,#4E9ED1,#55AADC,#449FD8
恋愛小説,Betta_Fish,#361C11,#6B3E25,#582F19,#64381F
恋爱告急,Betta_Fish,#12141D,#073F74,#033C71,#095893
悠哉日常~悠哉~悠哉,Betta_Fish,#2F675E,#699DAB,#164F60,#1E967B
想对你说,raspberry_kan,#E6E6E6,#C0CDDE,#9EBDD2,#ACBCC9
愚痴り合い～聞いてよ最近彼氏がさ、～,kengwang,#EEF1FA,#FD7B8D,#F1EFF4,#9FBFEE
愛されなくても君がいる,Betta_Fish,#F6A5E4,#77EEDB,#73E4D2,#F1EBED
愛と花,Betta_Fish,#F5BBCA,#C3BDDF,#94AFDC,#FDFCFD
愛言葉IV,Betta_Fish,#FBDCCA,#B5E6F7,#93D0FD,#7AA8E6
我们以后要结婚,Betta_Fish,#A4171F,#C11C28,#8D2331,#BD803F
我去2000年,Betta_Fish,#FBDF61,#F4E5C4,#C0832A,#F3DC6C
我只在乎你,Betta_Fish,#BB1F68,#B82067,#CD4D64,#D4A160
我妈爱Say No,kengwang,#A9B5C1,#F1099D,#2D6BA6,#8692A8
我是歌手 2015巅峰会,raspberry_kan,#E9E28A,#34BEAF,#E0EBE7,#DA91AB
我是歌手第二季 半决赛,Betta_Fish,#23161C,#1B1217,#3B3853,#5D323B
我爱你但是我要回家,Betta_Fish,#E8CE57,#D47B53,#E0BA4B,#D37454
戸松遥 BEST SELECTION -starlight-,kengwang,#B6C9E9,#CAD9EC,#C2CCE5,#E6ECF8
打火机,Betta_Fish,#80BEC9,#C2CACC,#E4DFCB,#DFDCC9
摩天动物园,Betta_Fish,#1A1B51,#23245C,#7F5D5C,#27285E
故装放下,Betta_Fish,#553633,#5B3C33,#533831,#64463E
敕勒歌,Betta_Fish,#3E5891,#345983,#4C6547,#103377
敢归云间宿,Betta_Fish,#593D25,#876C61,#5E7392,#252A3D
文学少女インセイン,kengwang,#6C2722,#923B2A,#A1302A,#582923
斗鱼 电视原声带,kengwang,#10120D,#521212,#181914,#10120D
新·神明对话日记,kengwang,#D4EAFF,#99D4E8,#FFFFFF,#98E5FF
新時代 (ウタ from ONE PIECE FILM RED),Betta_Fish,#D88BAF,#EACBA5,#F1E1CE,#F1E0CE
新说唱2025 第十二期,Betta_Fish,#32150F,#7E3725,#361712,#441711
旋律渐叙,Betta_Fish,#0E0C0C,#4E3A32,#A18171,#523C31
无名长诗,Betta_Fish,#080407,#773531,#C78584,#EFD3C3
无法告别的梦境,Betta_Fish,#5080E4,#6FA7F5,#A3C1F5,#E4F0F9
日本アニメーション創立25周年企画 アニメ主題歌大全集 ～オリジナル原盤による～,Betta_Fish,#F6FF9F,#E0E4E7,#FEFEFE,#FEFEFC
时光.漫步,Betta_Fish,#0F1013,#36363C,#333238,#0D1114
明日は君と。,Betta_Fish,#BDE0F6,#D9E9F6,#F2D0DE,#C3E0F2
明朝有意抱琴来,raspberry_kan,#FFF8EE,#B2AFDE,#FFFFFF,#C770B4
星が降るユメ,Betta_Fish,#010516,#061625,#002B88,#061781
星のうつわ,Betta_Fish,#F2F2F2,#969696,#BCBCBC,#EAEAEA
星の舟 ／ Gentle Jena,Betta_Fish,#7F5988,#7A5382,#2E61A3,#86608F
映画「たまこラブストーリー」オリジナル・サウンドトラック,Betta_Fish,#EBECB2,#CCD9AB,#EDEBBA,#EFE9DA
映画「犬夜叉 時代を越える想い」音楽篇,Betta_Fish,#2E3A76,#891A20,#07080D,#303464
春よ、来い,Betta_Fish,#050100,#1E201F,#424242,#313131
春を告げる,Betta_Fish,#090A29,#20164A,#2D3269,#6B5697
春夏秋冬 TOUR LIVE,Betta_Fish,#F7EEF1,#C3E4ED,#F6BFB8,#F8EFF2
春日影,Betta_Fish,#FBFCF6,#D7DBCA,#E0E1CC,#F6F6EF
是你,Betta_Fish,#1D2D10,#3E4B2A,#44552B,#667A9B
是妈妈是女儿,Betta_Fish,#B38786,#B89290,#CFBAB8,#FBF5F1
昼梦盛宴,Betta_Fish,#110715,#18092A,#4F1C3D,#421639
最強ガール,raspberry_kan,#FCC1F1,#76C4DA,#A694F8,#FFDE68
最新热歌慢摇110,raspberry_kan,#F4DDB1,#C6A266,#91764B,#EED2A2
最新热歌慢摇112,Betta_Fish,#333229,#746441,#2B2D28,#9F7F46
最新热歌慢摇95,Betta_Fish,#60553D,#EBC98A,#C0A371,#F0D8AE
最高到達点,Betta_Fish,#2C6576,#505D4C,#71A298,#444E45
有夜無夜 -VOCALOID ver.-,kengwang,#1B1C25,#625866,#CDA1B0,#0AF7B5
有象偶像,Betta_Fish,#04419A,#D35982,#47798C,#DA062E
朝焼けのスターマイン,Betta_Fish,#164384,#102671,#18276C,#113070
朝露は木漏れ日に溶けて,Betta_Fish,#BF7F41,#527F92,#638E9C,#3B687F
未来日记 第2巻 Blu-ray限定版特典“サウンドトラックCD”,Betta_Fish,#1A0B08,#351A18,#5C2921,#1A0B08
未知专辑,Betta_Fish,#464646,#5B2A2A,#464646,#464646
東方外來韋編,Betta_Fish,#C32C1B,#85271F,#C19B4B,#FFBE58
東方天空璋 〜 Hidden Star in Four Seasons. サウンドトラック,Betta_Fish,#BDBAD9,#EDDDC3,#CABBC6,#EAE4D6
東方幻想的音楽　～ Music,Betta_Fish,#110C01,#413003,#90720A,#EBE5D8
枫叶城,raspberry_kan,#CAE0EE,#DE712E,#F3F3F3,#D46F49
栞,Betta_Fish,#6D7890,#B2A0CA,#5E7BA3,#5071A4
桜流し,Betta_Fish,#DADEEA,#B0BEC7,#91A0A3,#F5F4F9
極夜において月は語らず,Betta_Fish,#020408,#1D333F,#368BB4,#132225
模特,Betta_Fish,#1A1A1A,#292929,#3F3F3F,#727272
檸檬,Betta_Fish,#111010,#1E185D,#0D3388,#2D549F
歌物語-〈物語〉シリーズ主題歌集-,Betta_Fish,#E15872,#73C5D1,#F6EF9F,#FBFAF2
止マレ！,raspberry_kan,#619AB7,#FBDFC7,#EDF0DD,#D6926F
正しい偽りからの起床,Betta_Fish,#021B48,#50423B,#001845,#011D4D
正解,raspberry_kan,#BD2631,#D46069,#F5A7AD,#FEFCFC
武侠音乐系列之后悔莫及,raspberry_kan,#DE5437,#EB9FAF,#FBEAF2,#F6E7E4
歩拾道,Betta_Fish,#354C56,#59767E,#3D5559,#2E404C
死ぬにはいい日だった,Betta_Fish,#070605,#3D3530,#383735,#181715
永不结束的歌,Betta_Fish,#281220,#804A76,#844481,#441B3D
永久损毁,Betta_Fish,#092334,#0E2135,#142B3D,#2A0D2B
池年2024年翻唱合辑,Betta_Fish,#111119,#48507A,#000000,#162451
決意の唄,Betta_Fish,#1F1E19,#51201B,#562423,#322E23
流年如歌2022,Betta_Fish,#36283F,#3C3DB1,#392A63,#362839
浪漫主義,Betta_Fish,#0A161A,#23313C,#4C6C78,#0D5170
混沌ブギ,Betta_Fish,#2C1E29,#630233,#553C61,#813B51
渡不了轮回,Betta_Fish,#13090A,#2D1814,#221912,#500607
渡月橋 ～君 想ふ～,Betta_Fish,#231715,#C61B25,#1E0F0C,#770014
港樂不息 Vol.4,Betta_Fish,#FFD699,#FFD58D,#FFC474,#FEFBE8
湘南乃風 〜一五一会〜,Betta_Fish,#598833,#598933,#598933,#2F4B1B
漂流,kengwang,#FDF5D1,#A8E8DA,#7FC4C9,#45678D
激動／Just break the limit!,Betta_Fish,#020100,#1E0709,#8F1E24,#691218
热爱105°C的你,raspberry_kan,#F4686A,#C5E4C2,#7DCCDB,#F2F2F2
無敵級＊ビリーバー,Betta_Fish,#102E53,#487CA9,#1B375E,#1668A0
熱情のスペクトラム／涙がきえるなら,raspberry_kan,#E8DE0D,#BDD720,#2AA380,#4BB99E
爆ぜて咲く,Betta_Fish,#D2DCE6,#D9DFC5,#F7F8FC,#CBDAE1
爆走兄弟レッツ&ゴー!!オリジナルサウンドトラック集,Betta_Fish,#161116,#2D639A,#17378C,#3B8BC6
现在是什么时辰了,Betta_Fish,#F6C234,#F47B37,#DBB951,#DEC962
珠玉,Betta_Fish,#05060A,#252C3A,#2D3743,#576373
町かどタンジェント／よいまちカンターレ,Betta_Fish,#E4B6C1,#C58682,#E6B8C5,#FEFEFE
盏茗,Betta_Fish,#010302,#194119,#1C7205,#173A22
盗墓笔记·十年人间,Betta_Fish,#050304,#373536,#21201E,#262425
盛装奔赴人间,Betta_Fish,#97938B,#B3B0A9,#D0CEC9,#F0F0ED
目及皆是你,Betta_Fish,#675A5E,#DB8B6A,#A2ADBB,#D3D6E0
眼镜的葬礼,Betta_Fish,#CABDAD,#F6F7F9,#F4F5F7,#EFF0F0
祈遇,Betta_Fish,#26225C,#3E46A6,#414FB8,#AE829D
神様はじめました／神様お願い,Betta_Fish,#141311,#211F20,#CE271F,#651C12
私じゃなかったんだね。,Betta_Fish,#607D81,#84A1A9,#DFE9EB,#CDD8DC
突破口 ／ 自慢になりたい,Betta_Fish,#ECE04C,#A28249,#E1544A,#F0D850
童话入侵计划,Betta_Fish,#9CAC4A,#8DA22D,#E0D849,#BEBF3D
竹枝词,Betta_Fish,#78BBB3,#B1E0D5,#D0EBE6,#ECF0ED
笠雪寒江,Betta_Fish,#FEFFFF,#A3ADE0,#DECCDC,#FDFBFC
第三个愿望,Betta_Fish,#74121A,#69121A,#330C18,#5C191D
第几个秋天,Betta_Fish,#3B4D6B,#54566D,#A96F6E,#364D6C
紅蓮の弓矢(TVサイズver.),Betta_Fish,#231816,#554324,#170F0E,#6B5D3E
素晴らしき日々 サウンドトラックCD,Betta_Fish,#9D433A,#3B2323,#2E1E1F,#2F1F20
絆ノ奇跡,Betta_Fish,#25221C,#0D585D,#08494B,#6B302B
絆／夏夕空,bluefire,#0B1514,#485C55,#91ADAE,#EFF0F1
結束バンド EXTRA MUSIC 3,Betta_Fish,#6E6E6E,#D7D7D7,#E5E5E5,#FFFFFF
绕梁经典金曲,Betta_Fish,#D0C7D8,#D0B9CD,#C9C5D6,#F6F2E9
给另一个世界的你,Betta_Fish,#4E3B3D,#9E6F59,#675251,#362827
绝区零-一颗方糖悬滞的时间,Betta_Fish,#65220F,#392907,#3E1E0F,#271E01
绝区零-覆灭重生 Come Alive,Betta_Fish,#0C1117,#3A3A3C,#8E939F,#0A0F15
绿色,Betta_Fish,#3F4146,#525661,#576F4D,#3E4C3D
美しい鰭,Betta_Fish,#3B4854,#5EAEB5,#459FA5,#A2D1CF
聖闘士星矢 SONG BEST,Betta_Fish,#8EE5F9,#2B5696,#063585,#3E778C
胡口桃生,Betta_Fish,#6F2B29,#F41B18,#7A5953,#D7C2B4
脏艺术家,Betta_Fish,#B7CDC1,#AFAFAF,#CFCFCF,#EEEBDC
臆病な白夜,Betta_Fish,#A0D1F1,#CDE7F4,#8CC8F1,#F0E9E4
致並跡,kengwang,#80BF6F,#F0EBD5,#92B3A8,#DED8B4
致你,Betta_Fish,#CED2D1,#85A6BA,#D1C6C2,#F8F8F8
花になって - Be a flower,Betta_Fish,#A7A6FF,#E8BDBA,#ECE4D7,#EDE5D8
花に亡霊,Betta_Fish,#3F70AB,#5A9FC9,#345C99,#224379
花のように,Betta_Fish,#73C5D0,#B4DCDB,#6AC0C9,#81CAD1
花園電気ギター！！！,raspberry_kan,#FEEDE5,#97D8DA,#2B7FDB,#F5F5F5
花开,Betta_Fish,#99A5BF,#E1E6EA,#F4F5F7,#ECEEF2
芽ぐみの雨,Betta_Fish,#FFFFFF,#7FB5DB,#C9DFD2,#7DB3D9
萤萤微光,kengwang,#142745,#1F4A75,#38485F,#576B67
蓬莱人形 ～ Dolls in Pseudo Paradise,raspberry_kan,#FC8E13,#DD5C00,#F8D615,#E64F08
虚仮の一念海馬に託す,raspberry_kan,#C8B799,#C788A5,#DBB6A4,#D6BAA6
裸の勇者,kengwang,#AE0004,#A30005,#860106,#CC0325
視界の隅 朽ちる音 (新川崎（仮）),Betta_Fish,#343031,#413D3A,#282826,#434341
誰にもなれない私だから,raspberry_kan,#3AC093,#E684C0,#DAAC31,#4CC1DA
謳歌爛漫,raspberry_kan,#F9E6FA,#DC85D6,#D5AD2A,#A55C94
诗,Betta_Fish,#F5EDE0,#DFCCAE,#DFD1B4,#F3ECDC
贫民百万歌星,Betta_Fish,#030303,#000000,#000000,#DE000F
起源,Betta_Fish,#82B2C6,#89B3C3,#5F90AE,#BBCAC5
超える,Betta_Fish,#102948,#3F4462,#1B3251,#45B5E7
超兽武装 动漫原声带,Betta_Fish,#56A8E0,#6EB0E0,#4984C6,#67A5D8
超能力患者AMAS音乐故事企划,raspberry_kan,#13089B,#752E6F,#4D2967,#A72319
跳楼机,Betta_Fish,#060F20,#112D73,#284E7F,#1A3881
輪符雨,Betta_Fish,#1C4969,#165B92,#4289AE,#5F8FA6
迎马,Betta_Fish,#0C0E1A,#294F38,#AB731C,#22244A
迷宮バタフライ,Betta_Fish,#1F2131,#1F595D,#234177,#1D2033
迷星叫 (パラレルver.),Betta_Fish,#55A6C1,#89C2D3,#A6CED8,#FAE2E0
迷跡波,Betta_Fish,#316274,#159CC7,#25536B,#3A757B
追憶,Betta_Fish,#3E3013,#544317,#9A892D,#564823
進撃の巨人OP,Betta_Fish,#202020,#252525,#1E1E1E,#262626
遠いこの街で,Betta_Fish,#479393,#E0B57C,#98D9C0,#F7F3DE
遠く、遠く、遠く。,Betta_Fish,#5D6268,#6B5D50,#3C3F46,#484C55
遥か,Betta_Fish,#89A4BC,#BEC1C6,#DBE6F1,#FCFDFE
遥かな日々,Betta_Fish,#5D80BD,#A6CFE3,#EDFFDB,#F6F4EE
邪神曲たち オリジナルサウンドトラック,Betta_Fish,#EADCD3,#1F6D6F,#EADCD3,#0492C0
酸的。,Betta_Fish,#C68E6F,#A98C73,#D5D1C5,#D8D5CE
金字塔,Betta_Fish,#3C3D3F,#696769,#5C5F64,#2A3139
金曜日のおはよう (Cover),Betta_Fish,#FEB6D4,#62E5B4,#C0F2DF,#F7F8F9
鋼の錬金術師 THE BEST,Betta_Fish,#F37F90,#FFFFFF,#FFFFFF,#FDFCFC
钱专,Betta_Fish,#050407,#020B1A,#193D57,#495A6E
银魂BEST,Betta_Fish,#AEAFAF,#F3FBFD,#DCDAE7,#C6C3D4
閃光,Betta_Fish,#25214D,#61449E,#694BA3,#6A877A
閃光だった (Rearranged Ver.),raspberry_kan,#F8FCFB,#7BBABA,#75F0EF,#E5F9F9
閉ざされた世界,Betta_Fish,#141313,#1D1919,#0E0F0D,#360E1B
闪烁,Betta_Fish,#8C96A2,#9FAAB7,#DBDADF,#FDFDFD
阳光开朗大男孩,Betta_Fish,#FFFFFF,#E7E7E7,#CECECE,#ADADAD
雨が降るから虹が出る (期間生産限定盤),Betta_Fish,#1E5F85,#2A84B8,#5DB8D5,#2A82B4
雨点,Betta_Fish,#FFD9D4,#CF99A6,#D29CA9,#CA98A3
霓虹轨迹,Betta_Fish,#251329,#913027,#322A5B,#15112C
青と夏,Betta_Fish,#0066AB,#0062AB,#EC6F81,#0060A5
青春症候群,Betta_Fish,#18162B,#A61F6C,#012D6A,#2A7A55
青空のラプソディ (アニメ盤),raspberry_kan,#ED929B,#EF7C89,#FBF9FC,#F9D090
音乐缘计划2 第6期,Betta_Fish,#4F7DCB,#4F7BC8,#FF9ADC,#D4E3F8
風が吹く街,Betta_Fish,#A3B2B5,#ADB5B0,#C8C8C8,#D4D5D5
風の谷のナウシカ,Betta_Fish,#778CB9,#7C91BE,#718BBC,#91A4CC
风之花（原神同人曲）,Betta_Fish,#ACD0D0,#92E5ED,#96E5EB,#F6F6F4
风来的夏天,Betta_Fish,#CBF0F8,#64BCE8,#95D572,#63BEEA
飞云之下,Betta_Fish,#335B7F,#4C779A,#87A5B2,#2E5274
魔杰座,Betta_Fish,#240D08,#573200,#3A1E11,#320F0F
鳥船遺跡 ～ Trojan Green Asteroid,Betta_Fish,#191B10,#243C18,#4A8650,#22391D
黎明を穿つ,Betta_Fish,#AEB6C0,#F7F8FA,#D8E0ED,#ECEFF2
黒い涙,Betta_Fish,#94918A,#C4C3BF,#957A4B,#CBCAC8
